Country reporting,Import/export,To or from country,Middle_Level_Code,Middle_Level_Description,LoW_Code,LoW_Description,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean_ship,std_ship
Netherlands,Export,Belgium,12.7,Dredging spoil,170506,dredging spoil other than those mentioned in 17 05 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,269000.0,0.0,0.0,153000.0,138000.0
United Kingdom,Export,Norway,10.3,Sorting residues,191210,combustible waste (refuse derived fuel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,60000.0,71000.0,103000.0,140000.0,168000.0,207000.0,137000.0,138000.0,0.0,0.0,0.0,150000.0,85000.0
Sweden,Export,Norway,12.8,Waste from waste treatment,190113*,fly ash containing dangerous substances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000.0,75000.0,77000.0,63000.0,73000.0,57000.0,64000.0,64000.0,64000.0,52000.0,73000.0,73000.0,0.0,146000.0,40000.0
United Kingdom,Export,Egypt,06.1,Metal wastes ferrous,170405,iron and steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132000.0,94000.0,212000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146000.0,60000.0
Denmark,Export,Norway,12.1,Construction and demolition wastes,170107,mixtures of concrete bricks tiles and ceramics other than those mentioned in 17 01 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146000.0,74000.0,55000.0,65000.0,54000.0,100000.0,0.0,144000.0,120000.0
Netherlands,Export,Germany,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118000.0,144000.0,44000.0,53000.0,33000.0,27000.0,26000.0,32000.0,4000.0,128000.0,269000.0,176000.0,0.0,142000.0,145000.0
Belgium,Export,Netherlands,12.6,Soils,170503*,soil and stones containing dangerous substances,0.0,0.0,0.0,0.0,0.0,228000.0,0.0,0.0,0.0,165000.0,119000.0,216000.0,170000.0,181000.0,132000.0,188000.0,91000.0,53000.0,103000.0,57000.0,57000.0,56000.0,142000.0,126000.0
Italy,Export,Portugal,10.3,Sorting residues,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,26000.0,83000.0,212000.0,123000.0,24000.0,6000.0,0.0,140000.0,122000.0
Netherlands,Export,Germany,10.2,Mixed and undifferentiated materials,150106,mixed packaging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,59000.0,73000.0,145000.0,149000.0,119000.0,146000.0,151000.0,176000.0,0.0,135000.0,73000.0
France,Export,Spain,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,3000.0,25000.0,61000.0,113000.0,121000.0,222000.0,236000.0,0.0,134000.0,89000.0
Germany,Export,Netherlands,12.7,Dredging spoil,170505*,dredging spoil containing dangerous substances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000.0,0.0,151000.0,170000.0,98000.0,99000.0,140000.0,1000.0,2000.0,0.0,0.0,0.0,0.0,128000.0,41000.0
France,Export,Germany,10.1,Household and similar wastes,200301,mixed municipal waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,32000.0,58000.0,80000.0,87000.0,79000.0,78000.0,73000.0,55000.0,24000.0,19000.0,0.0,128000.0,54000.0
Greece,Export,Turkey,08.1,Discarded vehicles,160104*,end-of-life vehicles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,1000.0,22000.0,160000.0,13000.0,22000.0,24000.0,95000.0,126000.0,59000.0,128000.0,200000.0,22000.0,127000.0,138000.0
Netherlands,Export,Belgium,11.1,Waste water treatment sludges,190805,sludges from treatment of urban waste water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71000.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,57000.0,53000.0,67000.0,84000.0,0.0,122000.0,23000.0
France,Export,Netherlands,12.7,Dredging spoil,170506,dredging spoil other than those mentioned in 17 05 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,23000.0,53000.0,96000.0,49000.0,0.0,0.0,0.0,0.0,120000.0,53000.0
